TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU,LISTING_ID
Sights,"14x12 Custom Hot Press Fine Art Paper - Vintage magazine collage",30,USD,5,"Vintage,collage,floral,surreal",paper,https://i.etsystatic.com/16655940/r/il/ae3362/6751607692/il_fullxfull.6751607692_m3z1.jpg,,,,,,,,,,,,,,,,,1880936004
"In London","Penguins and mushrooms",25,USD,5,,,https://i.etsystatic.com/16655940/r/il/ceb198/6730777148/il_fullxfull.6730777148_1fg9.jpg,,,,,,,,,,,,,,,,,1891102211
"Monkey Mind 55",Monkeys,20,USD,1,,,https://i.etsystatic.com/16655940/r/il/78d5c1/6778891729/il_fullxfull.6778891729_t8cx.jpg,,,,,,,,,,,,,,,,,1876932316
"Tell Me More Album Art","Tell Me more Album Art",20,USD,1,"Rocket,space,woman",,https://i.etsystatic.com/16655940/r/il/b3f160/6730806716/il_fullxfull.6730806716_fjiq.jpg,,,,,,,,,,,,,,,,,1876919616
"Space Cats","Just a couple of space cats hanging out",20,USD,1,"art,cat,space,collage",,https://i.etsystatic.com/16655940/r/il/8d7803/6778808639/il_fullxfull.6778808639_lr6y.jpg,,,,,,,,,,,,,,,,,1876915566
Olivia,"Woman is desert with polar bear",20,USD,1,"woman,art,desert,floral",,https://i.etsystatic.com/16655940/r/il/972c5b/6730770206/il_fullxfull.6730770206_3ced.jpg,,,,,,,,,,,,,,,,,1891100665
Recreate,Butterflies,20,USD,1,,,https://i.etsystatic.com/16655940/r/il/0c702d/6778763539/il_fullxfull.6778763539_nfl6.jpg,,,,,,,,,,,,,,,,,1891094075
"Recreate II","Space man in the desert",20,USD,1,"art,space,astronaut,desert",,https://i.etsystatic.com/16655940/r/il/7f2fb0/6730714640/il_fullxfull.6730714640_fmxw.jpg,,,,,,,,,,,,,,,,,1891089755
"Tell Me More Album Art II","Album artwork",25,USD,1,"Album_art,space,rocket,art,collage",,https://i.etsystatic.com/16655940/r/il/611fd9/6729772406/il_fullxfull.6729772406_kypa.jpg,,,,,,,,,,,,,,,,,1890921321
1996,"Solidarity is strength",20,USD,10,"Magazine,Collage","Magazine paper",https://i.etsystatic.com/16655940/r/il/1c5cc7/7441051207/il_fullxfull.7441051207_n0mp.jpg,,,,,,,,,,,,,,,,,4404359953
Red,"Collage with 1960s Jane Fonda from movie trailer",20,USD,1,"Red,art,vintage,Jane_Fonda,funky",Paper,https://i.etsystatic.com/16655940/r/il/702fb6/6728877768/il_fullxfull.6728877768_r2bc.jpg,,,,,,,,,,,,,,,,,1890747447
2024,Collage,25,USD,1,"art,vintage,magazine",,https://i.etsystatic.com/16655940/r/il/f7a5c8/6730894580/il_fullxfull.6730894580_5cx3.jpg,,,,,,,,,,,,,,,,,1891125215
Blue,"Blueish things",20,USD,1,"Blue,art,space,cat,silly",,https://i.etsystatic.com/16655940/r/il/623ebd/6730691074/il_fullxfull.6730691074_51ul.jpg,,,,,,,,,,,,,,,,,1891087637
"Outward Horizons","Its in the details",25,USD,10,"Vintage,Magazine,Space,Surf","Magazine paper",https://i.etsystatic.com/16655940/r/il/468ff5/7441015597/il_fullxfull.7441015597_hdoh.jpg,,,,,,,,,,,,,,,,,4404343622
"Brain Mush","Brain mush organic matter",15,USD,10,Collage,"Magazine paper",https://i.etsystatic.com/16655940/r/il/46bad0/7393091178/il_fullxfull.7393091178_84wq.jpg,,,,,,,,,,,,,,,,,4404350383
"Look One Dollar","Look $1",20,USD,10,"Magazine,Small_batch,Collage,Vintage","Magazine paper",https://i.etsystatic.com/16655940/r/il/cc7a55/7393082808/il_fullxfull.7393082808_4bme.jpg,,,,,,,,,,,,,,,,,4404339332
